,0
1430,170
1431,25
1432,121
1433,243
1434,231
1435,230
1436,24
1437,91
1438,109
1439,243
1440,93
1441,15
1442,238
1443,20
1444,29
1445,93
1446,42
1447,169
1448,147
1449,88
1450,103
1451,82
1452,117
1453,219
1454,130
1455,254
1456,40
1457,158
1458,91
1459,187
1460,41
1461,233
1462,101
1463,103
1464,252
1465,15
1466,209
1467,24
1468,17
1469,204
1470,91
1471,180
1472,208
1473,243
1474,82
1475,75
1476,211
1477,24
1478,48
1479,137
1480,229
1481,117
1482,185
1483,205
1484,145
1485,84
1486,198
1487,57
1488,20
1489,28
1490,194
1491,157
1492,240
1493,182
1494,18
1495,79
1496,116
1497,121
1498,253
1499,197
1500,81
1501,195
1502,74
1503,17
1504,122
1505,148
1506,214
1507,142
1508,80
1509,50
1510,217
1511,226
1512,4
1513,124
1514,35
1515,169
1516,202
1517,245
1518,162
1519,185
1520,56
1521,112
1522,36
1523,190
1524,8
1525,54
1526,141
1527,116
1528,201
1529,103
1530,225
1531,235
1532,67
1533,156
1534,208
1535,131
1536,18
1537,6
1538,34
1539,31
1540,156
1541,227
1542,124
1543,184
1544,44
1545,129
1546,226
1547,226
1548,176
1549,65
1550,45
1551,201
1552,189
1553,49
1554,133
1555,161
1556,166
1557,84
1558,31
1559,38
1560,56
1561,58
1562,137
1563,128
1564,11
1565,243
1566,90
1567,128
1568,80
1569,197
1570,65
1571,56
1572,210
1573,41
1574,34
1575,224
1576,132
1577,209
1578,107
1579,173
1580,236
1581,71
1582,32
1583,238
1584,144
1585,123
1586,115
1587,198
1588,14
1589,100
1590,234
1591,55
1592,7
1593,251
1594,184
1595,229
1596,99
1597,218
1598,130
1599,181
1600,78
1601,139
1602,225
1603,203
1604,233
1605,149
1606,213
1607,202
1608,131
1609,229
1610,160
1611,6
1612,53
1613,30
1614,255
1615,97
1616,45
1617,199
1618,19
1619,36
1620,191
1621,146
1622,105
1623,239
1624,51
1625,136
1626,211
1627,104
1628,186
1629,128
1630,164
1631,78
1632,17
1633,76
1634,241
1635,196
1636,29
1637,30
1638,8
1639,191
1640,226
1641,228
1642,254
1643,78
1644,6
1645,70
1646,125
1647,36
1648,36
1649,148
1650,41
1651,35
1652,120
1653,255
1654,51
1655,143
1656,153
1657,90
1658,57
1659,202
1660,44
1661,76
1662,184
1663,117
1664,233
1665,28
1666,95
1667,189
1668,112
1669,163
1670,162
1671,88
1672,250
1673,17
1674,12
1675,129
1676,67
1677,227
1678,133
1679,97
1680,49
1681,55
1682,0
1683,52
1684,60
1685,17
1686,48
1687,140
1688,211
1689,84
1690,32
1691,31
1692,249
1693,124
1694,240
1695,102
1696,104
1697,244
1698,190
1699,28
1700,44
1701,204
1702,8
1703,127
1704,254
1705,11
1706,75
1707,64
1708,42
1709,93
1710,102
1711,254
1712,72
1713,52
1714,31
1715,143
1716,136
1717,37
1718,122
1719,213
1720,195
1721,38
1722,176
1723,238
1724,53
1725,164
1726,161
1727,156
1728,21
1729,143
1730,25
1731,239
1732,185
1733,2
1734,7
1735,168
1736,148
1737,70
1738,181
1739,201
1740,188
1741,85
1742,56
1743,8
1744,131
1745,41
1746,112
1747,31
1748,198
1749,61
1750,182
1751,128
1752,112
1753,10
1754,222
1755,87
1756,229
1757,186
1758,140
1759,56
1760,243
1761,56
1762,239
1763,151
1764,75
1765,65
1766,222
1767,209
1768,17
1769,28
1770,8
1771,143
1772,172
1773,163
1774,143
1775,134
1776,135
1777,246
1778,33
1779,236
1780,208
1781,61
1782,67
1783,248
1784,245
1785,71
1786,57
1787,17
1788,29
1789,198
1790,14
1791,193
1792,245
1793,99
1794,171
1795,127
1796,114
1797,149
1798,171
1799,25
1800,70
1801,192
1802,167
1803,88
1804,99
1805,211
1806,23
1807,221
1808,236
1809,140
1810,108
1811,146
1812,216
1813,18
1814,237
1815,141
1816,117
1817,200
1818,75
1819,78
1820,1
1821,144
1822,151
1823,147
1824,182
1825,121
1826,177
1827,17
1828,209
1829,109
1830,65
1831,102
1832,198
1833,40
1834,187
1835,42
1836,37
1837,7
1838,243
1839,92
1840,177
1841,185
1842,147
1843,9
1844,36
1845,139
1846,201
1847,224
1848,178
1849,159
1850,79
1851,213
1852,160
1853,110
1854,225
1855,40
1856,91
1857,188
1858,18
1859,115
1860,227
1861,20
1862,158
1863,14
1864,21
1865,175
1866,107
1867,41
1868,64
1869,244
1870,37
1871,34
1872,25
1873,171
1874,42
1875,211
1876,54
1877,26
1878,118
1879,23
1880,34
1881,162
1882,222
1883,186
1884,244
1885,103
1886,254
1887,38
1888,254
1889,62
1890,47
1891,58
1892,75
1893,249
1894,185
1895,185
1896,181
1897,234
1898,172
1899,11
1900,99
1901,172
1902,145
1903,159
1904,126
1905,241
1906,174
1907,4
1908,224
1909,210
1910,99
1911,115
1912,74
1913,221
1914,91
1915,89
1916,132
1917,27
1918,5
1919,212
1920,78
1921,216
1922,3
1923,19
1924,91
1925,140
1926,88
1927,86
1928,246
1929,72
1930,68
1931,14
1932,69
1933,171
1934,1
1935,101
1936,182
1937,217
1938,21
1939,75
1940,254
1941,230
1942,40
1943,137
1944,245
1945,210
1946,97
1947,246
1948,61
1949,230
1950,28
1951,169
1952,167
1953,84
1954,72
1955,112
1956,193
1957,15
1958,6
1959,136
1960,21
1961,23
1962,232
1963,138
1964,28
1965,91
1966,255
1967,248
1968,1
1969,46
1970,121
1971,146
1972,40
1973,189
1974,207
1975,106
1976,157
1977,90
1978,169
1979,117
1980,211
1981,25
1982,148
1983,84
1984,189
1985,36
1986,175
1987,53
1988,128
1989,227
1990,217
1991,23
1992,46
1993,128
1994,59
1995,32
1996,189
1997,192
1998,231
1999,39
2000,54
2001,21
2002,208
2003,174
2004,236
2005,99
2006,129
2007,140
2008,6
2009,161
2010,93
2011,217
2012,238
2013,158
2014,203
2015,184
2016,247
2017,97
2018,49
2019,184
2020,5
2021,246
2022,183
2023,206
2024,22
2025,132
2026,244
2027,22
2028,189
2029,148
2030,32
2031,253
2032,209
2033,131
2034,197
2035,204
2036,173
2037,40
2038,56
2039,72
2040,250
2041,173
2042,49
2043,170
2044,124
2045,23
2046,52
2047,181
2048,27
2049,12
2050,113
2051,20
2052,119
2053,205
2054,170
2055,168
2056,226
2057,173
2058,56
2059,136
2060,237
2061,106
2062,57
2063,59
2064,179
2065,59
2066,69
2067,190
2068,138
2069,20
2070,203
2071,204
2072,92
2073,41
2074,146
2075,68
2076,181
2077,220
2078,125
2079,61
2080,17
2081,21
2082,210
2083,237
2084,128
2085,1
2086,106
2087,79
2088,60
2089,6
2090,91
2091,78
2092,84
2093,137
2094,153
2095,148
2096,131
2097,94
2098,194
2099,210
2100,133
2101,247
2102,44
2103,190
2104,9
2105,116
2106,244
2107,64
2108,17
2109,72
2110,133
2111,210
2112,45
2113,4
2114,35
2115,51
2116,102
2117,212
2118,234
2119,240
2120,179
2121,179
2122,71
2123,41
2124,129
2125,62
2126,100
2127,197
2128,180
2129,94
2130,156
2131,105
2132,202
2133,195
2134,209
2135,177
2136,160
2137,170
2138,207
2139,66
2140,89
2141,247
2142,233
2143,173
2144,148
2145,158
2146,1
2147,55
2148,214
2149,31
2150,212
2151,30
2152,160
2153,145
2154,29
2155,192
2156,19
2157,76
2158,94
2159,128
2160,60
2161,182
2162,233
2163,57
2164,27
2165,207
2166,39
2167,64
2168,152
2169,208
2170,187
2171,202
2172,201
2173,248
2174,60
2175,91
2176,177
2177,80
2178,103
2179,103
2180,129
2181,37
2182,37
2183,196
2184,117
2185,108
2186,141
2187,233
2188,34
2189,135
2190,158
2191,234
2192,162
2193,190
2194,76
2195,5
2196,109
2197,33
2198,103
2199,138
2200,80
2201,53
2202,14
2203,150
2204,151
2205,47
2206,85
2207,214
2208,184
2209,189
2210,178
2211,28
2212,172
2213,67
2214,212
2215,57
2216,248
2217,146
2218,14
2219,33
2220,251
2221,43
2222,252
2223,147
2224,38
2225,147
2226,68
2227,98
2228,108
2229,101
2230,79
2231,96
2232,68
2233,127
2234,217
2235,190
2236,2
2237,240
2238,208
2239,222
2240,218
2241,156
2242,192
2243,0
2244,201
2245,26
2246,142
2247,68
2248,46
2249,236
2250,107
2251,100
2252,186
2253,169
2254,180
2255,89
2256,210
2257,39
2258,144
2259,119
2260,43
2261,35
2262,15
2263,92
2264,228
2265,249
2266,224
2267,63
2268,166
2269,26
2270,155
2271,82
2272,238
2273,205
2274,155
2275,167
2276,113
2277,173
2278,215
2279,129
2280,200
2281,105
2282,164
2283,203
2284,201
2285,176
2286,245
2287,54
2288,199
2289,207
2290,183
2291,79
2292,225
2293,76
2294,243
2295,179
2296,35
2297,132
2298,134
2299,201
2300,144
2301,188
2302,225
2303,202
2304,163
2305,253
2306,197
2307,72
2308,159
2309,205
2310,247
2311,126
2312,39
2313,93
2314,133
2315,66
2316,79
2317,109
2318,120
2319,155
2320,240
2321,61
2322,67
2323,65
2324,124
2325,146
2326,147
2327,236
2328,2
2329,56
2330,43
2331,138
2332,79
2333,173
2334,57
2335,241
2336,46
2337,166
2338,188
2339,103
2340,47
2341,17
2342,114
2343,190
2344,151
2345,40
2346,40
2347,216
2348,45
2349,120
2350,163
2351,57
2352,124
2353,114
2354,37
2355,70
2356,246
2357,18
2358,214
2359,202
2360,108
2361,182
2362,59
2363,58
2364,196
2365,255
2366,11
2367,95
2368,212
2369,88
2370,249
2371,155
2372,56
2373,165
2374,119
2375,198
2376,218
2377,97
2378,103
2379,131
2380,175
2381,252
2382,133
2383,203
2384,158
2385,230
2386,158
2387,157
2388,106
2389,39
2390,19
2391,41
2392,130
2393,224
2394,84
2395,150
2396,2
2397,177
2398,45
2399,243
2400,222
2401,150
2402,75
2403,254
2404,186
2405,35
2406,31
2407,101
2408,5
2409,139
2410,246
2411,226
2412,85
2413,232
2414,191
2415,4
2416,136
2417,93
2418,142
2419,160
2420,4
2421,49
2422,164
2423,1
2424,5
2425,151
2426,183
2427,188
2428,177
2429,4
2430,241
2431,7
2432,1
2433,156
2434,157
2435,139
2436,65
2437,151
2438,213
2439,51
2440,202
2441,147
2442,147
2443,80
2444,222
2445,107
2446,196
2447,200
2448,207
2449,213
2450,116
2451,129
2452,123
2453,177
2454,218
2455,116
2456,45
2457,198
2458,220
2459,87
2460,162
2461,191
2462,255
2463,84
2464,163
2465,178
2466,73
2467,209
2468,112
2469,30
2470,30
2471,246
2472,81
2473,176
2474,236
2475,50
2476,176
2477,148
2478,61
2479,58
2480,96
2481,195
2482,30
2483,231
2484,246
2485,208
2486,196
2487,39
2488,49
2489,203
2490,93
2491,40
2492,235
2493,245
2494,252
2495,228
2496,177
2497,181
2498,139
2499,253
2500,54
2501,169
2502,164
2503,173
2504,103
2505,176
2506,104
2507,94
2508,69
2509,150
2510,50
2511,47
2512,215
2513,64
2514,69
2515,224
2516,117
2517,185
2518,140
2519,69
2520,249
2521,26
2522,175
2523,201
2524,88
2525,62
2526,90
2527,231
2528,183
2529,71
2530,148
2531,241
2532,24
2533,25
2534,94
2535,246
2536,106
2537,41
2538,50
2539,60
2540,96
2541,5
2542,80
2543,33
2544,220
2545,136
2546,13
2547,159
2548,224
2549,180
2550,133
2551,137
2552,18
2553,74
2554,102
2555,44
2556,216
2557,185
2558,231
2559,57
2560,54
2561,171
2562,126
2563,176
2564,93
2565,236
2566,120
2567,106
2568,39
2569,32
2570,81
2571,45
2572,53
2573,254
2574,204
2575,175
2576,34
2577,123
2578,11
2579,19
2580,45
2581,190
2582,24
2583,52
2584,194
2585,149
2586,154
2587,224
2588,36
2589,195
2590,127
2591,38
2592,207
2593,104
2594,188
2595,134
2596,219
2597,5
2598,93
2599,209
2600,103
2601,5
2602,127
2603,231
2604,67
2605,89
2606,94
2607,7
2608,82
2609,186
2610,168
2611,18
2612,163
2613,199
2614,108
2615,30
2616,13
2617,29
2618,158
2619,20
2620,61
2621,8
2622,147
2623,130
2624,147
2625,91
2626,4
2627,216
2628,123
2629,22
2630,100
2631,247
2632,184
2633,209
2634,112
2635,190
2636,189
2637,231
2638,242
2639,161
2640,225
2641,83
2642,180
2643,134
2644,2
2645,147
2646,137
2647,67
2648,4
2649,161
2650,21
2651,157
2652,82
2653,176
2654,81
2655,218
2656,200
2657,219
2658,231
2659,131
2660,194
2661,186
2662,37
2663,212
2664,178
2665,96
2666,22
2667,218
2668,174
2669,92
2670,72
2671,146
2672,196
2673,20
2674,110
2675,197
2676,13
2677,103
2678,249
2679,96
2680,82
2681,128
2682,18
2683,246
2684,22
2685,161
2686,199
2687,2
2688,42
2689,57
2690,122
2691,63
2692,161
2693,119
2694,19
2695,119
2696,188
2697,76
2698,155
2699,44
2700,178
2701,58
2702,86
2703,18
2704,0
2705,160
2706,35
2707,14
2708,22
2709,218
2710,118
2711,111
2712,216
2713,20
2714,207
2715,165
2716,96
2717,221
2718,193
2719,129
2720,171
2721,52
2722,25
2723,135
2724,192
2725,230
2726,145
2727,235
2728,36
2729,62
2730,147
2731,209
2732,208
2733,204
2734,211
2735,46
2736,83
2737,232
2738,38
2739,117
2740,154
2741,79
2742,99
2743,113
2744,138
2745,58
2746,21
2747,117
2748,29
2749,76
2750,205
2751,55
2752,181
2753,146
2754,59
2755,171
2756,82
2757,25
2758,207
2759,66
2760,161
2761,69
2762,150
2763,41
2764,239
2765,8
2766,81
2767,121
2768,217
2769,253
2770,54
2771,3
2772,48
2773,232
2774,200
2775,194
2776,3
2777,1
2778,252
2779,104
2780,215
2781,142
2782,213
2783,252
2784,229
2785,4
2786,111
2787,56
2788,22
2789,32
2790,97
2791,11
2792,157
2793,150
2794,87
2795,195
2796,175
2797,250
2798,150
2799,147
2800,223
2801,69
2802,230
2803,152
2804,28
2805,49
2806,100
2807,239
2808,0
2809,212
2810,6
2811,137
2812,206
2813,229
2814,90
2815,75
2816,92
2817,211
2818,144
2819,68
2820,149
2821,232
2822,171
2823,205
2824,172
2825,204
2826,0
2827,216
2828,128
2829,5
2830,223
2831,118
2832,100
2833,228
2834,204
2835,203
2836,18
2837,81
2838,187
2839,79
2840,17
2841,131
2842,41
2843,90
2844,70
2845,75
2846,208
2847,59
2848,12
2849,59
2850,91
2851,253
2852,2
2853,61
2854,56
2855,37
2856,204
2857,2
2858,179
2859,28
2860,172
2861,146
2862,69
2863,117
2864,110
2865,118
2866,98
2867,34
2868,1
2869,189
2870,253
2871,135
2872,164
2873,224
2874,48
2875,54
2876,151
2877,20
2878,59
2879,48
2880,198
2881,117
2882,107
2883,203
2884,9
2885,129
2886,126
2887,114
2888,1
2889,122
2890,243
2891,30
2892,198
2893,254
2894,29
2895,207
2896,251
2897,74
2898,51
2899,238
2900,153
2901,127
2902,18
2903,184
2904,187
2905,7
2906,22
2907,199
2908,190
2909,110
2910,199
2911,53
2912,230
2913,72
2914,152
2915,101
2916,125
2917,22
2918,95
2919,46
2920,167
2921,48
2922,89
2923,5
2924,93
2925,179
2926,24
2927,166
2928,233
2929,79
2930,198
2931,91
2932,248
2933,203
2934,180
2935,16
2936,157
2937,170
2938,134
2939,178
2940,63
2941,33
2942,195
2943,35
2944,76
2945,149
2946,3
2947,243
2948,170
2949,93
2950,138
2951,177
2952,11
2953,29
2954,27
2955,215
2956,154
2957,201
2958,230
2959,92
2960,85
2961,201
2962,105
2963,177
2964,202
2965,213
2966,237
2967,242
2968,186
2969,72
2970,102
2971,134
2972,186
2973,123
2974,226
2975,129
2976,193
2977,183
2978,67
2979,228
2980,105
2981,161
2982,17
2983,20
2984,197
2985,229
2986,125
2987,5
2988,12
2989,127
2990,240
2991,171
2992,211
2993,6
2994,70
2995,213
2996,12
2997,47
